session,group,n_neurons,normal,normal_sem,seizure,seizure_sem,fold
sweep_c40_seed11,c40,645,0.27133346253229973,0.0002645909020195686,1.6575226098191211,0.0012879091019823352,6.108802778506571
sweep_c40_seed12,c40,629,0.2611163222045575,0.00014538480503599354,1.629866189719131,0.0010920260009084596,6.241916154296553
sweep_c40_seed13,c40,673,0.264484274393264,0.000175444197157917,1.652612679544329,0.0010591505203300063,6.248434555647889
sweep_c40_seed14,c40,918,0.3597529956427015,0.0005589781945144248,1.7594412672476398,0.0013601905790731647,4.890692471106139
sweep_c40_seed15,c40,748,0.2732987967914438,0.0002725374148693795,1.6855145944741532,0.0007118414044681945,6.167296066657699
sweep_c40_seed16,c40,771,0.2842049286640726,0.0004164333070301578,1.6272009295287506,0.0009337857989969934,5.725449369148999
sweep_c40_seed17,c40,894,0.3295965697240865,0.0007479399522266797,1.7726644295302014,0.0014341423471872974,5.378285432442889
sweep_c40_seed18,c40,732,0.2999559426229508,0.0005044160304881231,1.6948968579234975,0.0011913386215943694,5.650486011720758
sweep_c40_seed19,c40,831,0.33339991977537103,0.0005894185338952881,1.723835639791416,0.0010026174988937418,5.170474068958548
sweep_c40_seed20,c40,811,0.293646629675298,0.0005137811972005707,1.6758840937114672,0.0008655277358414496,5.707145679024442
sweep_c50_seed01,c50,926,0.27804247660187187,0.00029522631504147077,1.7320195284377249,0.0008269209528929451,6.2293342715321804
sweep_c50_seed02,c50,758,0.2632752858399296,0.00018660330010661976,1.5802445030782761,0.0010672000096146207,6.002251590143782
sweep_c50_seed03,c50,957,0.3115647857889237,0.0006928514948823569,1.6852816091954024,0.0008088016509849335,5.409088851065257
sweep_c50_seed04,c50,970,0.3003463058419244,0.0005076844367913015,1.7167249999999998,0.000918498798926272,5.715818595430075
sweep_c50_seed05,c50,871,0.28240375047837735,0.0003398654992631856,1.6554105434366628,0.001259940430835528,5.861857502361364
sweep_c50_seed06,c50,1009,0.29215617773372976,0.00040172409981652327,1.7386348695077636,0.0012124508074370507,5.951046056922165
sweep_c50_seed07,c50,1010,0.325711798679868,0.0007768706998934347,1.7312016501650163,0.0012913800931945748,5.315133369996708
sweep_c50_seed08,c50,941,0.2943737159050655,0.00048063043258192006,1.7052477860432163,0.0009523032669061867,5.79279906427907
sweep_c50_seed09,c50,766,0.2619225413402959,0.00013357232922844243,1.6132666449086162,0.0006340117763100257,6.159327244815566
sweep_c50_seed10,c50,887,0.30021937241638486,0.0005608241392971535,1.7063095640736565,0.0009206854228390775,5.683542505402068
