session,group,family,label,x,topology_seed,n_neurons,rate_hz,n_events,events_per_min,mean_participation,mean_duration_ms,max_duration_ms,mean_ibi_ms,n_full,max_ko_mM,mean_ko_mM,duration_ms
sweep_c40_seed11,c40,kclear,kclear_tau00200,200.0,11,645,0.2792248062015504,36,12.0,0.3276055124892334,137.77777777777777,340.0,4959.296427889102,12,4.078851773931534,3.9973053589314707,180000.0
sweep_c40_seed11,c40,both,both_tau00200,200.0,11,645,1.6585185185185187,75,25.0,0.98656330749354,422.8,745.0,2408.1060807547574,75,4.267454873841827,4.0390402921492985,180000.0
sweep_c40_seed11,c40,kclear,kclear_tau12000,12000.0,11,645,0.2544099913867356,20,6.666666666666667,0.2148062015503876,106.0,215.0,8929.124998745281,2,5.249254940189462,5.167142742488373,180000.0
sweep_c40_seed11,c40,both,both_tau12000,12000.0,11,645,0.824547803617571,28,9.333333333333334,0.20968992248062013,173.21428571428572,400.0,6100.618517655705,2,15.048054756514128,14.74032446773912,180000.0
sweep_c40_seed11,c40,fourap,fourap_00.0mM,0.0,11,645,0.2792248062015504,36,12.0,0.3276055124892334,137.77777777777777,340.0,4959.296427889102,12,4.078851773931534,3.9973053589314707,180000.0
sweep_c40_seed11,c40,fourap,fourap_00.2mM,0.2,11,645,0.2778036175710594,31,10.333333333333334,0.2963740935233808,125.3225806451613,240.0,5683.183332563799,9,4.063122460036158,3.9972343862625936,180000.0
sweep_c40_seed11,c40,fourap,fourap_00.5mM,0.5,11,645,0.2788975021533161,30,10.0,0.3325064599483204,127.66666666666667,240.0,6027.162068132408,9,4.065543766506392,3.9972115349056647,180000.0
sweep_c40_seed11,c40,fourap,fourap_01.0mM,1.0,11,645,0.2743841515934539,34,11.333333333333334,0.2823073415412677,125.88235294117646,270.0,5192.728787170166,8,4.063215755721253,3.997131664353722,180000.0
sweep_c40_seed11,c40,fourap,fourap_02.0mM,2.0,11,645,0.2755641688199828,32,10.666666666666666,0.29752906976744187,129.21875,260.0,5384.008063795366,10,4.055429594810184,3.997104650890015,180000.0
sweep_c40_seed11,c40,fourap,fourap_04.0mM,4.0,11,645,0.27721791559000863,34,11.333333333333334,0.29744642042863656,118.08823529411765,285.0,5094.645453862751,12,4.064188278428289,3.997105263093573,180000.0
sweep_c40_seed11,c40,fourap,fourap_09.0mM,9.0,11,645,0.2785701981050818,31,10.333333333333334,0.3434858714678671,133.70967741935485,320.0,5783.388332537889,11,4.066847742944799,3.997110308873071,180000.0
sweep_c40_seed11,c40,sahp,sahp_s0.00,0.0,11,645,0.2792248062015504,36,12.0,0.3276055124892334,137.77777777777777,340.0,4959.296427889102,12,4.078851773931534,3.9973053589314707,180000.0
sweep_c40_seed11,c40,kclear,kclear_tau00500,500.0,11,645,0.27772609819121447,24,8.0,0.34612403100775196,138.33333333333334,310.0,7669.795651122363,8,4.1296602342403546,3.9934969293464158,180000.0
sweep_c40_seed11,c40,sahp,sahp_s0.25,0.25,11,645,0.3886735572782084,44,14.666666666666666,0.455461592670895,178.86363636363637,420.0,4019.233720387764,26,4.085603357803976,3.9992074365347388,180000.0
sweep_c40_seed11,c40,sahp,sahp_s0.50,0.5,11,645,0.5993970714900947,51,17.0,0.6891016871865026,204.6078431372549,350.0,3519.114499524063,39,4.147777909892238,4.003246489643956,180000.0
sweep_c40_seed11,c40,sahp,sahp_s0.75,0.75,11,645,0.9451679586563307,72,24.0,0.7282515073212747,265.4166666666667,510.0,2475.9732391033453,56,4.1780340862912295,4.012499968340415,180000.0
sweep_c40_seed11,c40,sahp,sahp_s1.00,1.0,11,645,1.6585185185185187,75,25.0,0.98656330749354,422.8,745.0,2408.1060807547574,75,4.267454873841827,4.0390402921492985,180000.0
sweep_c40_seed11,c40,both,both_tau00500,500.0,11,645,1.6502411714039622,77,25.666666666666668,0.9786570019128157,387.27272727272725,895.0,2349.6851970503776,77,4.880634253158635,4.1090775750308035,180000.0
sweep_c40_seed11,c40,kclear,kclear_tau01000,1000.0,11,645,0.27559000861326444,30,10.0,0.3117829457364341,135.16666666666666,305.0,5435.4189648339625,10,4.332794252261816,3.988210827733697,180000.0
sweep_c40_seed11,c40,both,both_tau01000,1000.0,11,645,1.0636950904392766,134,44.666666666666664,0.5194839754714798,402.35074626865674,995.0,1332.9381577144727,98,5.440637761534464,5.13711746093658,180000.0
sweep_c40_seed11,c40,kclear,kclear_tau02500,2500.0,11,645,0.2759000861326443,28,9.333333333333334,0.2869878183831672,115.71428571428571,215.0,6361.720369514514,7,4.59256788614837,3.9937196403104824,180000.0
sweep_c40_seed11,c40,both,both_tau02500,2500.0,11,645,0.8745133505598621,42,14.0,0.2535991140642303,200.11904761904762,420.0,4323.196950635746,9,8.101003717097624,8.012152300487422,180000.0
sweep_c40_seed11,c40,kclear,kclear_tau06000,6000.0,11,645,0.2681739879414298,40,13.333333333333334,0.36015503875968996,184.375,360.0,4374.8756404089745,19,4.737989799850074,4.509038470049047,180000.0
sweep_c40_seed11,c40,both,both_tau06000,6000.0,11,645,0.821894918173988,21,7.0,0.20767811000369146,180.47619047619048,485.0,8048.327498948395,1,11.847863435385593,11.67659220637857,180000.0
sweep_c40_seed12,c40,kclear,kclear_tau00200,200.0,12,629,0.26842430665960076,24,8.0,0.2719263381028087,165.20833333333334,395.0,7434.842390256523,7,4.031378570099595,3.9971047443415664,180000.0
sweep_c40_seed12,c40,both,both_tau00200,200.0,12,629,1.6144762409468292,75,25.0,0.96767355590885,396.6,560.0,2387.477702379897,74,4.199579867361283,4.024578057601433,180000.0
sweep_c40_seed12,c40,kclear,kclear_tau12000,12000.0,12,629,0.2582670906200318,25,8.333333333333334,0.24273449920508747,149.8,395.0,6090.248957455919,4,4.702166397348498,4.6244296699812235,180000.0
sweep_c40_seed12,c40,both,both_tau12000,12000.0,12,629,0.8847995053877408,50,16.666666666666668,0.21914149443561212,173.6,525.0,3389.092346490353,7,13.487355076682064,13.223268447885768,180000.0
sweep_c40_seed12,c40,fourap,fourap_00.0mM,0.0,12,629,0.26842430665960076,24,8.0,0.2719263381028087,165.20833333333334,395.0,7434.842390256523,7,4.031378570099595,3.9971047443415664,180000.0
sweep_c40_seed12,c40,fourap,fourap_00.2mM,0.2,12,629,0.2708797032326444,41,13.666666666666666,0.3070689053472411,157.6829268292683,295.0,3696.9599994942155,14,4.033932932363333,3.997132571202874,180000.0
sweep_c40_seed12,c40,fourap,fourap_00.5mM,0.5,12,629,0.26916622504857796,41,13.666666666666666,0.2830276474465857,156.34146341463415,330.0,4130.316249451239,13,4.031019229751492,3.9970783895275286,180000.0
sweep_c40_seed12,c40,fourap,fourap_01.0mM,1.0,12,629,0.2688394276629571,33,11.0,0.24757912993207107,145.6060606060606,260.0,5002.393749353271,6,4.035773924396416,3.9970273072256637,180000.0
sweep_c40_seed12,c40,fourap,fourap_02.0mM,2.0,12,629,0.2706323971029853,38,12.666666666666666,0.34557777591833316,189.8684210526316,370.0,4476.696621001978,18,4.035046554105781,3.99703428698349,180000.0
sweep_c40_seed12,c40,fourap,fourap_04.0mM,4.0,12,629,0.270084790673026,40,13.333333333333334,0.31677265500794916,166.625,335.0,3777.689743134907,16,4.0419350040988276,3.9969974602693337,180000.0
sweep_c40_seed12,c40,fourap,fourap_09.0mM,9.0,12,629,0.26877760113054233,29,9.666666666666666,0.3023408804341867,156.89655172413794,280.0,5493.238392139419,12,4.031060569000641,3.9969529011354057,180000.0
sweep_c40_seed12,c40,sahp,sahp_s0.00,0.0,12,629,0.26842430665960076,24,8.0,0.2719263381028087,165.20833333333334,395.0,7434.842390256523,7,4.031378570099595,3.9971047443415664,180000.0
sweep_c40_seed12,c40,kclear,kclear_tau00500,500.0,12,629,0.26838897721250665,30,10.0,0.2768945416004239,158.0,360.0,5544.1189647696565,8,4.087958369037038,3.9930732745479722,180000.0
sweep_c40_seed12,c40,sahp,sahp_s0.25,0.25,12,629,0.3613407525172231,55,18.333333333333332,0.28053186876716285,135.27272727272728,360.0,3247.7675921487216,16,4.049114753592713,3.998794977244412,180000.0
sweep_c40_seed12,c40,sahp,sahp_s0.50,0.5,12,629,0.5308779367602897,81,27.0,0.4524720799230603,213.39506172839506,485.0,2220.1018746976424,50,4.089082018363537,4.001750139952533,180000.0
sweep_c40_seed12,c40,sahp,sahp_s0.75,0.75,12,629,0.8973502914679384,69,23.0,0.8036220363586093,314.2028985507246,590.0,2587.863602592435,59,4.151493458091101,4.008073581371359,180000.0
sweep_c40_seed12,c40,sahp,sahp_s1.00,1.0,12,629,1.6144762409468292,75,25.0,0.96767355590885,396.6,560.0,2387.477702379897,74,4.199579867361283,4.024578057601433,180000.0
sweep_c40_seed12,c40,both,both_tau00500,500.0,12,629,1.606447624094683,78,26.0,0.9463739757857405,388.5897435897436,995.0,2291.450649042455,75,4.723297042685286,4.067741172841912,180000.0
sweep_c40_seed12,c40,kclear,kclear_tau01000,1000.0,12,629,0.27042925278219393,41,13.666666666666666,0.3261855830005041,185.97560975609755,385.0,4326.813749405848,19,4.234316556399961,3.9872738415262794,180000.0
sweep_c40_seed12,c40,both,both_tau01000,1000.0,12,629,1.106597774244833,134,44.666666666666664,0.588638682580737,436.4925373134328,975.0,1341.260338164628,111,5.228876771757996,4.931455099917261,180000.0
sweep_c40_seed12,c40,kclear,kclear_tau02500,2500.0,12,629,0.270791379614909,39,13.0,0.326647914883209,171.66666666666666,330.0,4563.428946739809,17,4.424937072423685,3.9712972029212503,180000.0
sweep_c40_seed12,c40,both,both_tau02500,2500.0,12,629,0.929093799682035,60,20.0,0.2647323794382618,199.41666666666666,440.0,2927.7847453683376,16,7.475662042898566,7.4048974454543055,180000.0
sweep_c40_seed12,c40,kclear,kclear_tau06000,6000.0,12,629,0.2617205440734853,26,8.666666666666666,0.20086828910358323,111.53846153846153,210.0,6710.31199906371,1,4.532082183506555,4.205717610262223,180000.0
sweep_c40_seed12,c40,both,both_tau06000,6000.0,12,629,0.8855149266913972,33,11.0,0.25413113648407765,197.12121212121212,330.0,5257.749218062909,6,10.688043137796265,10.544560932212894,180000.0
sweep_c40_seed13,c40,kclear,kclear_tau00200,200.0,13,673,0.27366683176490014,29,9.666666666666666,0.3570733206947789,172.41379310344828,375.0,6251.342856279781,13,4.060593522660521,3.9971763937695766,180000.0
