session,best_lag,bursts_per_rec,density,exc_ap,exc_auc,excl_dropped_frac,frac_recs_bursting,group,inh_ap,inh_auc,mean_rate_hz,n_edges,n_neurons,noise_seed_base,space_size,topology_seed,typed_f1,typed_precision,typed_recall,wprot_excl_precision,wprot_excl_recall,wprot_full_precision,wprot_full_recall
sweep_c40_seed11,2,1.075,0.02099041841205643,0.8300872134081552,0.9611658576560564,0.001992083333333333,0.745,c40,0.41576404605510126,0.9208689321689081,0.27133346253229973,8719,645,2100,13.416407864998739,11,0.8126118842755673,0.8183298441498023,0.8069732767519211,0.9193390281473183,0.7529533203349008,0.9100121605188488,0.7724509691478381
sweep_c40_seed12,2,0.025,0.020713294785981187,0.8756045304859412,0.9735991693477692,3.9166666666666665e-05,0.025,c40,0.4307894472811833,0.9217236132331917,0.2611163222045575,8182,629,2200,13.416407864998739,12,0.7827468785471056,0.7306632761178216,0.8428257149841115,0.9620109925638539,0.7273282815937424,0.9603737113402062,0.7286726961623075
sweep_c40_seed13,2,0.175,0.019343026958182977,0.8668649622957624,0.9701813843111212,0.00030416666666666667,0.16,c40,0.3472313606464212,0.9173289646922431,0.264484274393264,8748,673,2300,13.416407864998739,13,0.8292101679527918,0.823231185218567,0.8352766346593508,0.9516780392702966,0.7812071330589849,0.948671831765357,0.7838363054412437
sweep_c40_seed14,2,7.89,0.01859692138093575,0.6801166076041163,0.8707308567258123,0.018127916666666667,1.0,c40,0.7200247428476998,0.9740244705656714,0.3597529956427015,15655,918,2400,13.416407864998739,14,0.629906955048732,0.5115639205678284,0.8194825934206323,0.8148784235740757,0.5758543596295114,0.44368030980837286,0.8489300542957522
sweep_c40_seed15,2,0.94,0.01968122042537351,0.8549286050166173,0.963772494590754,0.0017933333333333334,0.705,c40,0.4935291060763551,0.9456997682805783,0.2732987967914438,10997,748,2500,13.416407864998739,15,0.8367642540490716,0.8087561513660275,0.8667818495953442,0.9543463223426332,0.7527507502046012,0.9490917246019287,0.7696644539419841
sweep_c40_seed16,2,3.845,0.018616403052200716,0.797986184563859,0.95256235823675,0.007604583333333333,1.0,c40,0.351392981480007,0.9116611389765709,0.2842049286640726,11052,771,2600,13.416407864998739,16,0.8140025692787668,0.8256701414743113,0.8026601520086862,0.9207784773898111,0.7277415852334419,0.8411697247706422,0.7964169381107492
sweep_c40_seed17,2,6.16,0.018406898296719952,0.7554686991089902,0.9196771551073742,0.01448,1.0,c40,0.7795154830676378,0.9866316144075696,0.3295965697240865,14695,894,2700,13.416407864998739,17,0.7938065307373907,0.7223772321428571,0.8809118747873427,0.8878656554712893,0.66920721333787,0.7092361567082512,0.882068730860837
sweep_c40_seed18,2,5.26,0.01978725153805327,0.7783640267102948,0.9378080078980002,0.01070625,1.0,c40,0.5406765947482923,0.9510478203811854,0.2999559426229508,10588,732,2800,13.416407864998739,18,0.7973659786980157,0.7493147271368054,0.8520022667170382,0.8939986203724994,0.7344163203626747,0.7890403682719547,0.8418020400453343
sweep_c40_seed19,2,7.77,0.019395995534484508,0.6954820245177128,0.884907858740547,0.016975833333333332,1.0,c40,0.6548750858280356,0.9625108795654027,0.33339991977537103,13378,831,2900,13.416407864998739,19,0.6706572416904798,0.5611315246388483,0.8333084168037076,0.8661366566394499,0.6026311855284796,0.5187611673615247,0.8463895948572283
sweep_c40_seed20,2,4.485,0.018440882312645568,0.7887384127420248,0.9485700305749105,0.00928875,1.0,c40,0.5415592331590678,0.9284457199227927,0.293646629675298,12114,811,3000,13.416407864998739,20,0.8023422464272553,0.7960510278703177,0.8087336965494469,0.9012228547332911,0.7057123988773321,0.8110591516941504,0.816080567937923
sweep_c50_seed01,2,1.5,0.015592785009631661,0.8448771459818093,0.9662752345916522,0.00285,0.895,c50,0.4972415370715948,0.9543752786079854,0.27804247660187187,13356,926,1100,15.0,1,0.8476069588591055,0.8452717795979151,0.8499550763701708,0.9428004330566583,0.7824198861934711,0.9221210315771555,0.8111710092842168
