n_recordings,target_for_realized_10pct,realized_at_that_target,best_f1_target,best_f1
10,0.40,0.0999,0.80,0.5424
20,0.50,0.1034,0.80,0.6640
30,0.50,0.0800,0.70,0.7297
40,0.60,0.1055,0.70,0.7749
50,0.60,0.0867,0.70,0.8083
60,0.60,0.0821,0.70,0.8279
80,0.70,0.1006,0.70,0.8565
100,0.70,0.0930,0.70,0.8723
120,0.70,0.0918,0.70,0.8843
140,0.80,0.1170,0.70,0.8952
160,0.80,0.1079,0.70,0.9022
180,0.80,0.1025,0.70,0.9067
200,0.80,0.0982,0.70,0.9121
