n_recordings,target_for_realized_10pct,realized_at_that_target,best_f1_target,best_f1
10,0.40,0.0751,0.70,0.5543
20,0.50,0.0809,0.70,0.6882
30,0.60,0.1094,0.80,0.7520
40,0.60,0.0862,0.70,0.7920
50,0.70,0.1154,0.70,0.8208
60,0.70,0.1060,0.80,0.8384
80,0.70,0.0871,0.80,0.8667
100,0.80,0.1094,0.80,0.8836
120,0.80,0.0938,0.80,0.8982
140,0.80,0.0877,0.80,0.9079
160,0.90,0.1106,0.80,0.9152
180,0.90,0.1086,0.80,0.9212
200,0.90,0.1008,0.80,0.9263
