n_recordings,minutes,nominal_target_fdr,realized_fdr,estimated_fdr,threshold,n_pred,TP,precision,recall,f1
100,100,0.10,0,0.0998073,0.0477036,1816,1816,1,0.220871,0.361825
100,100,0.20,0.000356252,0.199813,0.0372047,2807,2806,0.999644,0.341279,0.50884
100,100,0.30,0.00318706,0.299798,0.0287677,4079,4066,0.996813,0.494527,0.661084
100,100,0.40,0.0124164,0.399857,0.0229403,5235,5170,0.987584,0.628801,0.768373
100,100,0.50,0.0247379,0.499631,0.0194364,6104,5953,0.975262,0.724033,0.831076
100,100,0.60,0.0473071,0.598472,0.016927,6870,6545,0.952693,0.796035,0.867347
100,100,0.70,0.0695793,0.699552,0.015196,7416,6900,0.930421,0.839212,0.882466
100,100,0.80,0.109354,0.7989,0.0136841,8093,7208,0.890646,0.876672,0.883604
100,100,0.90,0.15434,0.899634,0.0123154,8870,7501,0.84566,0.912308,0.877721
100,100,1.00,0.985671,1,-0.03401,573806,8222,0.0143289,1,0.0282529
120,120,0.10,0,0.0995457,0.0470946,1871,1871,1,0.22756,0.370752
120,120,0.20,0,0.199851,0.0368688,2844,2844,1,0.345901,0.514007
120,120,0.30,0.00258763,0.299841,0.0279163,4251,4240,0.997412,0.51569,0.679869
120,120,0.40,0.0108452,0.399892,0.0223468,5348,5290,0.989155,0.643396,0.779661
120,120,0.50,0.0213552,0.49986,0.0189302,6228,6095,0.978645,0.741304,0.843599
120,120,0.60,0.0397456,0.599906,0.0165691,6919,6644,0.960254,0.808076,0.877617
120,120,0.70,0.0650762,0.69947,0.0147713,7545,7054,0.934924,0.857942,0.89478
120,120,0.80,0.0938235,0.799759,0.0133473,8079,7321,0.906177,0.890416,0.898227
120,120,0.90,0.133288,0.899891,0.0120799,8748,7582,0.866712,0.92216,0.893577
120,120,1.00,0.985671,1,-0.0332384,573806,8222,0.0143289,1,0.0282529
140,140,0.10,0,0.0999193,0.0469905,1859,1859,1,0.226101,0.368813
140,140,0.20,0,0.199896,0.0366362,2884,2884,1,0.350766,0.519359
140,140,0.30,0.00306531,0.299988,0.0279068,4241,4228,0.996935,0.51423,0.678488
140,140,0.40,0.00876866,0.399557,0.0222878,5360,5313,0.991231,0.646193,0.782359
140,140,0.50,0.0196047,0.499618,0.0187409,6223,6101,0.980395,0.742034,0.844721
140,140,0.60,0.0359794,0.599764,0.0162383,7004,6752,0.964021,0.821211,0.886904
140,140,0.70,0.0601079,0.699707,0.01445,7603,7146,0.939892,0.869132,0.903128
140,140,0.80,0.0876827,0.799997,0.013029,8143,7429,0.912317,0.903551,0.907913
140,140,0.90,0.126399,0.899421,0.0117719,8758,7651,0.873601,0.930552,0.901178
140,140,1.00,0.985671,1,-0.0331368,573806,8222,0.0143289,1,0.0282529
160,160,0.10,0,0.0997888,0.0464574,1894,1894,1,0.230358,0.374456
160,160,0.20,0,0.199897,0.0364619,2904,2904,1,0.353199,0.52202
160,160,0.30,0.00231535,0.299896,0.0275539,4319,4309,0.997685,0.524082,0.687186
160,160,0.40,0.00722892,0.399954,0.0220223,5395,5356,0.992771,0.651423,0.786664
160,160,0.50,0.0185626,0.499802,0.0184899,6303,6186,0.981437,0.752372,0.851773
160,160,0.60,0.0338645,0.599851,0.0160824,7028,6790,0.966135,0.825833,0.890492
160,160,0.70,0.0533316,0.699862,0.0143044,7594,7189,0.946668,0.874361,0.909079
160,160,0.80,0.0799017,0.799985,0.0128559,8135,7485,0.920098,0.910362,0.915204
160,160,0.90,0.110572,0.899754,0.0116476,8655,7698,0.889428,0.936269,0.912247
160,160,1.00,0.985671,1,-0.032399,573806,8222,0.0143289,1,0.0282529
180,180,0.10,0,0.0994105,0.0467097,1866,1866,1,0.226952,0.369944
180,180,0.20,0,0.19977,0.0362615,2929,2929,1,0.356239,0.525334
180,180,0.30,0.00230521,0.299908,0.027331,4338,4328,0.997695,0.526393,0.689172
180,180,0.40,0.0082027,0.39995,0.021637,5486,5441,0.991797,0.661761,0.793843
180,180,0.50,0.01709,0.49998,0.0181527,6378,6269,0.98291,0.762467,0.858767
180,180,0.60,0.0325548,0.599292,0.0158383,7065,6835,0.967445,0.831306,0.894224
180,180,0.70,0.0503993,0.699879,0.0140977,7639,7254,0.949601,0.882267,0.914696
180,180,0.80,0.0747239,0.799264,0.0126777,8150,7541,0.925276,0.917173,0.921207
180,180,0.90,0.108611,0.899727,0.0114354,8710,7764,0.891389,0.944296,0.91708
180,180,1.00,0.985671,1,-0.0334507,573806,8222,0.0143289,1,0.0282529
200,200,0.10,0,0.0999477,0.0464198,1911,1911,1,0.232425,0.377183
200,200,0.20,0,0.199713,0.0361073,2963,2963,1,0.360375,0.529817
200,200,0.30,0.00162526,0.29989,0.0274534,4307,4300,0.998375,0.522987,0.686408
200,200,0.40,0.00850833,0.399869,0.0215406,5524,5477,0.991492,0.66614,0.796886
200,200,0.50,0.0171687,0.499785,0.0180622,6407,6297,0.982831,0.765872,0.860893
200,200,0.60,0.0310078,0.599331,0.0157769,7095,6875,0.968992,0.836171,0.897695
200,200,0.70,0.0487805,0.699866,0.0140059,7667,7293,0.95122,0.88701,0.917994
200,200,0.80,0.0696847,0.799779,0.0126036,8151,7583,0.930315,0.922282,0.926281
200,200,0.90,0.100785,0.899951,0.0113914,8662,7789,0.899215,0.947336,0.922649
200,200,1.00,0.985671,1,-0.0321182,573806,8222,0.0143289,1,0.0282529
