condition,N,auc,ap,f1,fdr,precision,recall,TP,FP,FN,auc_inhibitory,auc_excitatory,rate_E2_hz,rate_E5_hz,rate_I2_hz
normal,303,0.6627,0.4151,0.3982,0.674,0.326,0.5114,3084,6375,2947,0.8614,0.7861,1.548,1.546,6.63
mauve,303,0.7591,0.5822,0.5437,0.4355,0.5645,0.5243,3748,2891,3401,0.533,0.8453,2.155,2.158,7.341
