n_recordings,target_for_realized_10pct,realized_at_that_target,best_f1_target,best_f1
10,0.20,0.1015,0.80,0.4706
20,0.20,0.1102,0.50,0.6092
30,0.20,0.1160,0.40,0.6775
40,0.20,0.1261,0.30,0.7162
50,0.20,0.1304,0.30,0.7437
60,0.10,0.0684,0.30,0.7568
80,0.10,0.0619,0.20,0.7776
100,0.10,0.0606,0.20,0.7902
120,0.10,0.0602,0.20,0.7996
140,0.10,0.0618,0.20,0.8072
160,0.10,0.0621,0.20,0.8079
180,0.10,0.0611,0.20,0.8101
200,0.10,0.0619,0.20,0.8141
