n_recordings,minutes,nominal_target_fdr,realized_fdr,estimated_fdr,threshold,n_pred,TP,precision,recall,f1
100,100,0.10,0.0605899,0.0998801,0.0402155,5628,5287,0.93941,0.643031,0.763466
100,100,0.20,0.147643,0.199947,0.0328374,7105,6056,0.852357,0.73656,0.790239
100,100,0.30,0.22521,0.29979,0.0289204,8330,6454,0.77479,0.784967,0.779845
100,100,0.40,0.298174,0.4,0.0261257,9585,6727,0.701826,0.818171,0.755546
100,100,0.50,0.366143,0.499977,0.0239915,10881,6897,0.633857,0.838847,0.722086
100,100,0.60,0.432487,0.599934,0.0220847,12442,7061,0.567513,0.858793,0.683411
100,100,0.70,0.497269,0.699998,0.0203598,14282,7180,0.502731,0.873267,0.638109
100,100,0.80,0.557486,0.799916,0.0187771,16465,7286,0.442514,0.886159,0.59027
100,100,0.90,0.620146,0.899913,0.0171503,19468,7395,0.379854,0.899416,0.534128
100,100,1.00,0.985671,1,-0.113776,573806,8222,0.0143289,1,0.0282529
120,120,0.10,0.0602199,0.099952,0.0393189,5729,5384,0.93978,0.654829,0.771844
120,120,0.20,0.148647,0.199856,0.031677,7279,6197,0.851353,0.75371,0.799561
120,120,0.30,0.232588,0.299977,0.0276408,8629,6622,0.767412,0.8054,0.785947
120,120,0.40,0.309777,0.399957,0.0248174,9962,6876,0.690223,0.836293,0.756269
120,120,0.50,0.37892,0.5,0.0226548,11319,7030,0.62108,0.855023,0.719513
120,120,0.60,0.443658,0.599988,0.0208273,12859,7154,0.556342,0.870105,0.678715
120,120,0.70,0.509936,0.699907,0.0191142,14845,7275,0.490064,0.884821,0.630771
120,120,0.80,0.57157,0.7999,0.0175415,17207,7372,0.42843,0.896619,0.57981
120,120,0.90,0.634985,0.899974,0.0159161,20506,7485,0.365015,0.910362,0.521094
120,120,1.00,0.985671,1,-0.116538,573806,8222,0.0143289,1,0.0282529
140,140,0.10,0.0617557,0.0999915,0.0383425,5878,5515,0.938244,0.670761,0.78227
140,140,0.20,0.151308,0.199849,0.0306722,7455,6327,0.848692,0.769521,0.80717
140,140,0.30,0.24424,0.299904,0.0265756,8897,6724,0.75576,0.817806,0.78556
140,140,0.40,0.318552,0.399674,0.023801,10193,6946,0.681448,0.844807,0.754385
140,140,0.50,0.388569,0.499946,0.0215931,11653,7125,0.611431,0.866577,0.716981
140,140,0.60,0.454723,0.599966,0.0197763,13307,7256,0.545277,0.88251,0.674068
140,140,0.70,0.52278,0.699861,0.0180557,15452,7374,0.47722,0.896862,0.622962
140,140,0.80,0.582979,0.799997,0.0165185,17896,7463,0.417021,0.907687,0.571483
140,140,0.90,0.643909,0.89997,0.0149898,21180,7542,0.356091,0.917295,0.513026
140,140,1.00,0.985671,1,-0.113244,573806,8222,0.0143289,1,0.0282529
160,160,0.10,0.0620887,0.0999663,0.0377837,5927,5559,0.937911,0.676113,0.78578
