n_recordings,minutes,nominal_target_fdr,realized_fdr,estimated_fdr,threshold,n_pred,TP,precision,recall,f1
80,80,1.00,0.986359,1,-0.0420783,856550,11684,0.0136408,1,0.0269144
100,100,0.10,0.000474383,0.099917,0.0476645,4216,4214,0.999526,0.360664,0.530063
100,100,0.20,0.00210563,0.199925,0.0379911,5699,5687,0.997894,0.486734,0.654317
100,100,0.30,0.00698129,0.299689,0.0310313,7162,7112,0.993019,0.608696,0.754749
100,100,0.40,0.0172351,0.399858,0.0265866,8297,8154,0.982765,0.697877,0.816175
100,100,0.50,0.0346481,0.499537,0.0235553,9178,8860,0.965352,0.758302,0.849391
100,100,0.60,0.0611511,0.599296,0.0212634,10008,9396,0.938849,0.804177,0.86631
100,100,0.70,0.0929588,0.699824,0.0194589,10822,9816,0.907041,0.840123,0.872301
100,100,0.80,0.132672,0.799891,0.017925,11698,10146,0.867328,0.868367,0.867847
100,100,0.90,0.187903,0.899944,0.0164759,12879,10459,0.812097,0.895156,0.851606
100,100,1.00,0.986359,1,-0.0430167,856550,11684,0.0136408,1,0.0269144
120,120,0.10,0.000695894,0.0999768,0.0469874,4311,4308,0.999304,0.368709,0.538668
120,120,0.20,0.00208406,0.199766,0.0376426,5758,5746,0.997916,0.491784,0.658869
120,120,0.30,0.00662983,0.299603,0.0306288,7240,7192,0.99337,0.615543,0.760093
120,120,0.40,0.0156342,0.39995,0.0258927,8507,8374,0.984366,0.716707,0.829478
120,120,0.50,0.0314069,0.499493,0.0228842,9361,9067,0.968593,0.776018,0.861677
120,120,0.60,0.0555556,0.599828,0.020593,10170,9605,0.944444,0.822064,0.879015
120,120,0.70,0.0918275,0.699971,0.0187146,11086,10068,0.908172,0.861691,0.884321
120,120,0.80,0.12573,0.799951,0.0173055,11819,10333,0.87427,0.884372,0.879292
120,120,0.90,0.171252,0.899865,0.0159523,12794,10603,0.828748,0.90748,0.866329
120,120,1.00,0.986359,1,-0.0451979,856550,11684,0.0136408,1,0.0269144
140,140,0.10,0.00068697,0.0999256,0.0464468,4367,4364,0.999313,0.373502,0.543767
140,140,0.20,0.00154321,0.199781,0.0372975,5832,5823,0.998457,0.498374,0.664878
140,140,0.30,0.00583684,0.299902,0.0301154,7367,7324,0.994163,0.62684,0.768884
140,140,0.40,0.0141712,0.399654,0.0253346,8609,8487,0.985829,0.726378,0.836446
140,140,0.50,0.0283815,0.499802,0.0222652,9478,9209,0.971618,0.788172,0.870334
140,140,0.60,0.0508178,0.599847,0.0199742,10272,9750,0.949182,0.834474,0.88814
140,140,0.70,0.0801878,0.699849,0.0181838,11074,10186,0.919812,0.87179,0.895158
140,140,0.80,0.117009,0.79964,0.0167052,11888,10497,0.882991,0.898408,0.890633
140,140,0.90,0.159514,0.899617,0.0154469,12745,10712,0.840486,0.916809,0.87699
140,140,1.00,0.986359,1,-0.0464278,856550,11684,0.0136408,1,0.0269144
160,160,0.10,0.000455166,0.0999659,0.0462262,4394,4392,0.999545,0.375899,0.546337
160,160,0.20,0.00118323,0.199966,0.036833,5916,5909,0.998817,0.505734,0.671477
160,160,0.30,0.00478787,0.299924,0.0296666,7519,7483,0.995212,0.640448,0.779357
160,160,0.40,0.0155226,0.399894,0.0249412,8697,8562,0.984477,0.732797,0.840194
160,160,0.50,0.0278326,0.499831,0.0218247,9629,9361,0.972167,0.801181,0.878431
160,160,0.60,0.0472836,0.599826,0.0196017,10363,9873,0.952716,0.845002,0.895632
160,160,0.70,0.0756868,0.699632,0.0178235,11138,10295,0.924313,0.881119,0.9022
160,160,0.80,0.107935,0.799973,0.0163983,11859,10579,0.892065,0.905426,0.898696
160,160,0.90,0.148399,0.899878,0.0151369,12682,10800,0.851601,0.924341,0.886481
160,160,1.00,0.986359,1,-0.0466068,856550,11684,0.0136408,1,0.0269144
180,180,0.10,0.000448732,0.0999832,0.0459572,4457,4455,0.999551,0.381291,0.55201
180,180,0.20,0.00134567,0.199958,0.0367163,5945,5937,0.998654,0.508131,0.673549
180,180,0.30,0.0052687,0.29997,0.0293746,7592,7552,0.994731,0.646354,0.783565
180,180,0.40,0.0141005,0.399903,0.0246442,8794,8670,0.985899,0.74204,0.846762
180,180,0.50,0.0275869,0.499872,0.0214401,9751,9482,0.972413,0.811537,0.884721
180,180,0.60,0.0476735,0.5999,0.0192297,10488,9988,0.952326,0.854844,0.900956
